name,slug,url,section,subcategory
BPMN Business Process Model and Notation,bpmn,https://www.udemy.com/topic/bpmn/,Business,Operations
Change Management,change-management,https://www.udemy.com/topic/change-management/,Business,Management
Recruiting and Hiring,recruiting,https://www.udemy.com/topic/recruiting/,Business,Human Resources
ISO/IEC 27001,isoiec-27001,https://www.udemy.com/topic/isoiec-27001/,Business,Management
Amazon Kindle Direct Publishing (KDP),amazon-kindle,https://www.udemy.com/topic/amazon-kindle/,Business,E-Commerce
Lean Six Sigma Yellow Belt Certification,lean-six-sigma-yellow-belt,https://www.udemy.com/topic/lean-six-sigma-yellow-belt/,Business,Operations
Startup,startup,https://www.udemy.com/topic/startup/,Business,Entrepreneurship
Qlik Sense,qlik-sense,https://www.udemy.com/topic/qlik-sense/,Business,Business Analytics & Intelligence
Restaurant Management,restaurant-management,https://www.udemy.com/topic/restaurant-management/,Business,Management
Lean,lean,https://www.udemy.com/topic/lean/,Business,Operations
Oil and Gas Industry,oil-and-gas-industry,https://www.udemy.com/topic/oil-and-gas-industry/,Business,Industry
Key Performance Indicators (KPIs),key-performance-indicators,https://www.udemy.com/topic/key-performance-indicators/,Business,Management
Project Risk Management,project-risk-management,https://www.udemy.com/topic/project-risk-management/,Business,Project Management
Root Cause Analysis,root-cause-analysis,https://www.udemy.com/topic/root-cause-analysis/,Business,Project Management
Novel Writing,novel-writing,https://www.udemy.com/topic/novel-writing/,Business,Communication
Google Sheets,google-sheets,https://www.udemy.com/topic/google-sheets/,Business,Business Analytics & Intelligence
Warehouse Management,warehouse-management,https://www.udemy.com/topic/warehouse-management/,Business,Operations
Workplace Health and Safety,work-safety,https://www.udemy.com/topic/work-safety/,Business,Industry
Business Development,business-development,https://www.udemy.com/topic/business-development/,Business,Sales
Assertiveness,assertiveness,https://www.udemy.com/topic/assertiveness/,Business,Communication
PMI Program Management Professional (PgMP),pgmp,https://www.udemy.com/topic/pgmp/,Business,Project Management
Selling on Amazon,selling-on-amazon,https://www.udemy.com/topic/selling-on-amazon/,Business,E-Commerce
Personal Development,personal-development,https://www.udemy.com/topic/personal-development/,Personal Development,Personal Transformation
Neuro-Linguistic Programming (NLP),neuro-linguistic-programming,https://www.udemy.com/topic/neuro-linguistic-programming/,Personal Development,Personal Transformation
Personal Productivity,personal-productivity,https://www.udemy.com/topic/personal-productivity/,Personal Development,Personal Productivity
Creative Writing,creative-writing,https://www.udemy.com/topic/creative-writing/,Personal Development,Creativity
Speed Reading,speed-reading,https://www.udemy.com/topic/speed-reading/,Personal Development,Memory & Study Skills
Memory,memory,https://www.udemy.com/topic/memory/,Personal Development,Memory & Study Skills
Time Management,time-management,https://www.udemy.com/topic/time-management/,Personal Development,Personal Productivity
Confidence,confidence,https://www.udemy.com/topic/confidence/,Personal Development,Self Esteem & Confidence
Sound Therapy,sound-therapy,https://www.udemy.com/topic/sound-therapy/,Personal Development,Personal Transformation
Personal Transformation,personal-transformation,https://www.udemy.com/topic/personal-transformation/,Personal Development,Personal Transformation
Coaching,coaching,https://www.udemy.com/topic/coaching/,Personal Development,Leadership
Voice Training,voice-training,https://www.udemy.com/topic/voice-training/,Personal Development,Influence
Mindfulness,mindfulness,https://www.udemy.com/topic/mindfulness/,Personal Development,Personal Transformation
Spirituality,spirituality,https://www.udemy.com/topic/spirituality/,Personal Development,Religion & Spirituality
Emotional Intelligence,emotional-intelligence,https://www.udemy.com/topic/emotional-intelligence/,Personal Development,Personal Transformation
Interviewing Skills,interviewing-skills,https://www.udemy.com/topic/interviewing-skills/,Personal Development,Career Development
Learning Strategies,learning-strategies,https://www.udemy.com/topic/learning-strategies/,Personal Development,Memory & Study Skills
Car Repair,car-repair,https://www.udemy.com/topic/car-repair/,Personal Development,Career Development
Body Language,body-language,https://www.udemy.com/topic/body-language/,Personal Development,Career Development
Self-Esteem,self-esteem,https://www.udemy.com/topic/self-esteem/,Personal Development,Self Esteem & Confidence
Stress Management,stress-management,https://www.udemy.com/topic/stress-management/,Personal Development,Stress Management
Parenting,parenting,https://www.udemy.com/topic/parenting/,Personal Development,Parenting & Relationships
Soft Skills,soft-skills,https://www.udemy.com/topic/soft-skills/,Personal Development,Career Development
Psychology,psychology-fundamentals,https://www.udemy.com/topic/psychology-fundamentals/,Personal Development,Personal Transformation
Meditation,meditation,https://www.udemy.com/topic/meditation/,Personal Development,Personal Transformation
Screenwriting and Scriptwriting,screenwriting,https://www.udemy.com/topic/screenwriting/,Personal Development,Creativity
IT / Technical Support,it-support,https://www.udemy.com/topic/it-support/,Personal Development,Career Development
Critical Thinking,critical-thinking,https://www.udemy.com/topic/critical-thinking/,Personal Development,Career Development
Relationship Building,relationship,https://www.udemy.com/topic/relationship/,Personal Development,Parenting & Relationships
Business Writing,business-writing,https://www.udemy.com/topic/business-writing/,Personal Development,Career Development
Focus Mastery,focus-mastery,https://www.udemy.com/topic/focus-mastery/,Personal Development,Memory & Study Skills
Art Therapy,art-therapy,https://www.udemy.com/topic/art-therapy/,Personal Development,Personal Transformation
Cognitive Behavioral Therapy (CBT),cbt,https://www.udemy.com/topic/cbt/,Personal Development,Personal Transformation
Neuroplasticity,neuroplasticity,https://www.udemy.com/topic/neuroplasticity/,Personal Development,Motivation
Counseling,counseling,https://www.udemy.com/topic/counseling/,Personal Development,Personal Transformation
Voice Acting,voice-acting,https://www.udemy.com/topic/voice-acting/,Personal Development,Career Development
Negotiation,negotiation,https://www.udemy.com/topic/negotiation/,Personal Development,Influence
Anxiety Management,anxiety-management,https://www.udemy.com/topic/anxiety-management/,Personal Development,Stress Management
Career Development,career-development,https://www.udemy.com/topic/career-development/,Personal Development,Career Development
Persuasion,persuasion,https://www.udemy.com/topic/persuasion/,Personal Development,Influence
Life Purpose,life-purpose,https://www.udemy.com/topic/life-purpose/,Personal Development,Personal Transformation
Job Search,job-search,https://www.udemy.com/topic/job-search/,Personal Development,Career Development
Decision Making,decision-making,https://www.udemy.com/topic/decision-making/,Personal Development,Leadership
Manifestation and Law of Attraction,law-of-attraction,https://www.udemy.com/topic/law-of-attraction/,Personal Development,Personal Transformation
Conflict Management,conflict-management,https://www.udemy.com/topic/conflict-management/,Personal Development,Leadership
Tarot Reading,tarot-reading,https://www.udemy.com/topic/tarot-reading/,Personal Development,Religion & Spirituality
Meetings,meetings,https://www.udemy.com/topic/meetings/,Personal Development,Personal Brand Building
Energy Healing,energy-healing,https://www.udemy.com/topic/energy-healing/,Personal Development,Personal Transformation
Notion Workspace,notion-workspace,https://www.udemy.com/topic/notion-workspace/,Personal Development,Personal Productivity
Accent Reduction,accent-reduction,https://www.udemy.com/topic/accent-reduction/,Personal Development,Career Development
Study Skills,study-skills,https://www.udemy.com/topic/study-skills/,Personal Development,Memory & Study Skills
CCAT,ccat,https://www.udemy.com/topic/ccat/,Personal Development,Career Development
Neuroscience,neuroscience,https://www.udemy.com/topic/neuroscience/,Personal Development,Personal Transformation
The Bible,the-bible,https://www.udemy.com/topic/the-bible/,Personal Development,Religion & Spirituality
Reflexology,reflexology,https://www.udemy.com/topic/reflexology/,Personal Development,Career Development
Social Skills,social-skills,https://www.udemy.com/topic/social-skills/,Personal Development,Personal Transformation
Acting,acting,https://www.udemy.com/topic/acting/,Personal Development,Career Development
Resume and CV Writing,resume,https://www.udemy.com/topic/resume/,Personal Development,Career Development
Writing a Book,writing-a-book,https://www.udemy.com/topic/writing-a-book/,Personal Development,Creativity
Goal Setting,goal-setting,https://www.udemy.com/topic/goal-setting/,Personal Development,Personal Transformation
Magic Tricks,magic-trick,https://www.udemy.com/topic/magic-trick/,Personal Development,Creativity
Personal Branding,personal-branding,https://www.udemy.com/topic/personal-branding/,Personal Development,Personal Brand Building
Personal Success,personal-success,https://www.udemy.com/topic/personal-success/,Personal Development,Personal Transformation
English Literature,english-literature,https://www.udemy.com/topic/english-literature/,Personal Development,Creativity
Spiritual Healing,spiritual-healing,https://www.udemy.com/topic/spiritual-healing/,Personal Development,Religion & Spirituality
LinkedIn,linkedin,https://www.udemy.com/topic/linkedin/,Personal Development,Career Development
Numerology,numerology,https://www.udemy.com/topic/numerology/,Personal Development,Religion & Spirituality
Electricity,electricity,https://www.udemy.com/topic/electricity/,Personal Development,Career Development
Automotive Engineering,automobile-engineering,https://www.udemy.com/topic/automobile-engineering/,Personal Development,Career Development
Remote Viewing,remote-viewing,https://www.udemy.com/topic/remote-viewing/,Personal Development,Personal Transformation
Couples Counseling,couples-counseling,https://www.udemy.com/topic/couples-counseling/,Personal Development,Parenting & Relationships
Habits,habits,https://www.udemy.com/topic/habits/,Personal Development,Personal Transformation
Happiness,happiness,https://www.udemy.com/topic/happiness/,Personal Development,Happiness
EFT (Emotional Freedom Techniques),eft,https://www.udemy.com/topic/eft/,Personal Development,Personal Transformation
Motivation,motivation,https://www.udemy.com/topic/motivation/,Personal Development,Motivation
Self-Discipline,self-discipline,https://www.udemy.com/topic/self-discipline/,Personal Development,Personal Transformation
Listening Skills,listening-skills,https://www.udemy.com/topic/listening-skills/,Personal Development,Leadership
Aviation,aviation,https://www.udemy.com/topic/aviation/,Personal Development,Career Development
Grief Healing,grief-healing,https://www.udemy.com/topic/grief-healing/,Personal Development,Personal Transformation
Reiki,reiki,https://www.udemy.com/topic/reiki/,Personal Development,Personal Transformation
Career Coach Training,career-coaching,https://www.udemy.com/topic/career-coaching/,Personal Development,Career Development
Creativity,creativity,https://www.udemy.com/topic/creativity/,Personal Development,Creativity
